HomeTeam,AwayTeam,FTHG,FTAG,FTR
Sao Paulo,Santos,1,2,A
Vitoria,Corinthians,1,2,A
Goias,Bahia,3,1,H
Atletico-MG,Vasco,2,1,H
Juventude,Fortaleza,2,2,D
Guarani,Coritiba,2,1,H
Flamengo,Parana,0,3,A
Criciuma,Cruzeiro,1,3,A
Vasco,Juventude,1,1,D
Fortaleza,Gremio,2,2,D
Corinthians,Sao Caetano,0,3,A
Coritiba,Goias,1,0,H
Ponte Preta,Athletico-PR,2,2,D
Santos,Guarani,1,1,D
Bahia,Sao Paulo,3,0,H
Cruzeiro,Flamengo,2,0,H
Parana,Paysandu,4,2,H
Internacional,Criciuma,2,0,H
Fluminense,Vitoria,2,0,H
Figueirense,Atletico-MG,0,1,A
Athletico-PR,Coritiba,2,0,H
Guarani,Ponte Preta,1,3,A
Sao Caetano,Santos,2,2,D
Atletico-MG,Cruzeiro,0,1,A
Figueirense,Criciuma,4,2,H
Sao Paulo,Corinthians,3,0,H
Vitoria,Bahia,2,1,H
Goias,Fluminense,6,1,H
Juventude,Parana,1,1,D
Flamengo,Vasco,2,1,H
Internacional,Gremio,0,1,A
Paysandu,Fortaleza,3,0,H
Goias,Sao Paulo,3,1,H
Guarani,Fluminense,2,0,H
Flamengo,Paysandu,2,0,H
Gremio,Atletico-MG,2,2,D
Coritiba,Bahia,3,2,H
Parana,Internacional,4,0,H
Santos,Athletico-PR,3,2,H
Criciuma,Vasco,2,1,H
Fortaleza,Figueirense,1,1,D
Vitoria,Sao Caetano,0,0,D
Corinthians,Ponte Preta,3,0,H
Cruzeiro,Juventude,1,2,A
Ponte Preta,Goias,0,2,A
Sao Caetano,Coritiba,2,0,H
Athletico-PR,Vitoria,1,2,A
Figueirense,Flamengo,0,0,D
Fluminense,Corinthians,1,0,H
Internacional,Cruzeiro,1,0,H
Bahia,Santos,4,7,A
Sao Paulo,Guarani,3,3,D
Atletico-MG,Parana,2,2,D
Juventude,Gremio,1,2,A
Vasco,Fortaleza,1,1,D
Paysandu,Criciuma,4,0,H
Coritiba,Santos,0,4,A
Bahia,Fluminense,2,2,D
Ponte Preta,Vitoria,1,1,D
Cruzeiro,Figueirense,1,0,H
Sao Caetano,Sao Paulo,0,1,A
Parana,Vasco,3,3,D
Goias,Guarani,3,0,H
Criciuma,Fortaleza,2,2,D
Corinthians,Athletico-PR,2,3,A
Paysandu,Atletico-MG,1,0,H
Flamengo,Gremio,2,1,H
Internacional,Juventude,0,0,D
Guarani,Bahia,3,2,H
Athletico-PR,Sao Caetano,1,0,H
Gremio,Parana,0,2,A
Fluminense,Ponte Preta,2,2,D
Atletico-MG,Criciuma,1,1,D
Santos,Corinthians,3,1,H
Juventude,Flamengo,2,2,D
Fortaleza,Cruzeiro,1,2,A
Figueirense,Paysandu,6,0,H
Vitoria,Goias,3,4,A
Vasco,Internacional,0,1,A
Sao Paulo,Coritiba,1,0,H
Parana,Figueirense,1,1,D
Internacional,Fortaleza,1,1,D
Juventude,Criciuma,3,1,H
Paysandu,Vasco,1,2,A
Sao Paulo,Fluminense,1,0,H
Coritiba,Corinthians,1,0,H
Santos,Vitoria,3,1,H
Cruzeiro,Gremio,3,0,H
Goias,Athletico-PR,4,1,H
Guarani,Sao Caetano,0,1,A
Bahia,Ponte Preta,1,0,H
Flamengo,Atletico-MG,3,2,H
Fluminense,Coritiba,3,2,H
Gremio,Paysandu,2,0,H
Criciuma,Parana,1,2,A
Ponte Preta,Santos,3,4,A
Vasco,Cruzeiro,0,1,A
Fortaleza,Flamengo,4,1,H
Athletico-PR,Sao Paulo,4,3,H
Sao Caetano,Bahia,4,1,H
Figueirense,Juventude,2,1,H
Vitoria,Guarani,0,0,D
Corinthians,Goias,2,0,H
Atletico-MG,Internacional,1,2,A
Figueirense,Internacional,3,2,H
Atletico-MG,Fortaleza,2,0,H
Coritiba,Ponte Preta,1,1,D
Gremio,Vasco,4,3,H
Flamengo,Criciuma,1,0,H
Santos,Fluminense,3,1,H
Parana,Cruzeiro,1,3,A
Sao Caetano,Goias,1,0,H
Bahia,Athletico-PR,0,2,A
Sao Paulo,Vitoria,3,1,H
Guarani,Corinthians,0,1,A
Paysandu,Juventude,3,2,H
Vasco,Figueirense,1,0,H
Juventude,Atletico-MG,1,0,H
Athletico-PR,Guarani,3,1,H
Fluminense,Sao Caetano,2,1,H
Internacional,Flamengo,3,1,H
Goias,Santos,3,0,H
Fortaleza,Parana,5,3,H
Criciuma,Gremio,0,2,A
Cruzeiro,Paysandu,2,1,H
Vitoria,Coritiba,1,0,H
Ponte Preta,Sao Paulo,1,2,A
Corinthians,Bahia,1,2,A
Vitoria,Atletico-MG,0,1,A
Goias,Figueirense,0,3,A
Athletico-PR,Vasco,2,2,D
Corinthians,Parana,1,1,D
Cruzeiro,Fluminense,5,2,H
Guarani,Paysandu,2,1,H
Santos,Gremio,2,2,D
Flamengo,Ponte Preta,1,1,D
Criciuma,Bahia,3,2,H
Fortaleza,Coritiba,2,2,D
Internacional,Sao Paulo,1,1,D
Juventude,Sao Caetano,2,1,H
Parana,Vitoria,2,0,H
Coritiba,Criciuma,2,0,H
Atletico-MG,Goias,3,2,H
Figueirense,Guarani,2,0,H
Sao Caetano,Internacional,5,0,H
Gremio,Corinthians,3,0,H
Ponte Preta,Fortaleza,2,0,H
Bahia,Cruzeiro,0,7,A
Fluminense,Juventude,1,0,H
Paysandu,Athletico-PR,2,2,D
Vasco,Santos,1,1,D
Sao Paulo,Flamengo,1,3,A
Botafogo-RJ,Goias,1,4,A
Figueirense,Internacional,1,0,H
Sao Caetano,Vitoria,1,0,H
Cruzeiro,Juventude,2,1,H
Palmeiras,Atletico-MG,0,0,D
Gremio,Flamengo,0,0,D
Ponte Preta,Corinthians,3,2,H
Parana,Santos,3,2,H
Coritiba,Guarani,1,0,H
Vasco,Criciuma,0,1,A
Paysandu,Fluminense,3,3,D
Sao Paulo,Athletico-PR,1,0,H
Flamengo,Ponte Preta,0,0,D
Goias,Cruzeiro,2,2,D
Juventude,Gremio,1,1,D
Internacional,Palmeiras,1,0,H
Atletico-MG,Vasco,1,1,D
Fluminense,Coritiba,1,1,D
Corinthians,Paysandu,2,1,H
Guarani,Sao Caetano,1,1,D
Athletico-PR,Figueirense,0,3,A
Vitoria,Parana,6,1,H
Criciuma,Sao Paulo,1,1,D
Santos,Botafogo-RJ,2,0,H
Botafogo-RJ,Atletico-MG,2,2,D
Coritiba,Internacional,1,1,D
Paysandu,Athletico-PR,0,3,A
Cruzeiro,Criciuma,2,2,D
Ponte Preta,Goias,2,0,H
Gremio,Corinthians,4,0,H
Figueirense,Santos,2,1,H
Sao Paulo,Fluminense,1,0,H
Parana,Flamengo,2,1,H
Vasco,Guarani,0,1,A
Palmeiras,Vitoria,2,2,D
Internacional,Paysandu,1,0,H
Criciuma,Botafogo-RJ,1,0,H
Atletico-MG,Ponte Preta,1,2,A
Goias,Gremio,4,0,H
Flamengo,Sao Caetano,1,1,D
Santos,Cruzeiro,1,3,A
Fluminense,Vasco,1,0,H
Corinthians,Palmeiras,0,4,A
Juventude,Parana,4,0,H
Vitoria,Figueirense,3,1,H
Guarani,Sao Paulo,2,3,A
Athletico-PR,Coritiba,1,1,D
Santos,Juventude,2,1,H
Parana,Cruzeiro,2,0,H
Guarani,Athletico-PR,0,0,D
Sao Caetano,Criciuma,5,0,H
Vasco,Gremio,1,1,D
Palmeiras,Ponte Preta,3,0,H
Internacional,Fluminense,0,0,D
Atletico-MG,Corinthians,2,2,D
Botafogo-RJ,Paysandu,2,2,D
Goias,Figueirense,1,0,H
Vitoria,Flamengo,5,1,H
Coritiba,Sao Paulo,1,2,A
Paysandu,Vasco,1,2,A
Athletico-PR,Santos,1,0,H
Cruzeiro,Palmeiras,2,1,H
Flamengo,Internacional,1,2,A
Figueirense,Sao Caetano,1,0,H
Criciuma,Goias,7,2,H
Juventude,Atletico-MG,1,1,D
Ponte Preta,Coritiba,0,0,D
Gremio,Botafogo-RJ,2,2,D
Sao Paulo,Parana,2,2,D
Fluminense,Vitoria,1,0,H
Corinthians,Guarani,1,0,H
Botafogo-RJ,Figueirense,1,1,D
Paysandu,Gremio,1,3,A
Internacional,Goias,1,0,H
Coritiba,Atletico-MG,0,1,A
Santos,Palmeiras,0,4,A
Flamengo,Fluminense,1,2,A
Sao Caetano,Vasco,3,2,H
Parana,Ponte Preta,0,1,A
Criciuma,Vitoria,2,0,H
Juventude,Guarani,2,0,H
Corinthians,Athletico-PR,0,5,A
Cruzeiro,Sao Paulo,2,1,H
Fluminense,Criciuma,1,1,D
Ponte Preta,Juventude,0,1,A
Figueirense,Paysandu,1,1,D
Palmeiras,Coritiba,2,0,H
Vitoria,Internacional,2,1,H
Atletico-MG,Santos,3,3,D
Vasco,Botafogo-RJ,4,0,H
Sao Paulo,Corinthians,1,1,D
Guarani,Parana,1,0,H
Goias,Flamengo,2,2,D
Athletico-PR,Cruzeiro,3,1,H
Gremio,Sao Caetano,1,2,A
Fluminense,Guarani,1,1,D
Parana,Botafogo-RJ,1,1,D
Internacional,Atletico-MG,4,1,H
Sao Paulo,Gremio,3,2,H
Goias,Corinthians,1,1,D
Palmeiras,Vasco,2,2,D
Cruzeiro,Paysandu,1,0,H
Coritiba,Sao Caetano,1,0,H
Criciuma,Juventude,2,0,H
Ponte Preta,Figueirense,0,2,A
Flamengo,Athletico-PR,3,0,H
Vitoria,Santos,1,2,A
Gremio,Coritiba,1,1,D
Athletico-PR,Vitoria,1,3,A
Vasco,Parana,0,0,D
Figueirense,Cruzeiro,0,0,D
Sao Caetano,Palmeiras,1,1,D
Corinthians,Flamengo,1,1,D
Botafogo-RJ,Ponte Preta,0,1,A
Paysandu,Sao Paulo,1,0,H
Guarani,Criciuma,2,1,H
Juventude,Goias,1,1,D
Santos,Internacional,3,0,H
Atletico-MG,Fluminense,2,1,H
Sao Caetano,Juventude,1,0,H
Criciuma,Gremio,1,2,A
Coritiba,Parana,1,1,D
Flamengo,Figueirense,0,3,A
Santos,Guarani,2,1,H
Internacional,Vasco,1,3,A
Juventude,Corinthians,1,0,H
Botafogo-RJ,Fluminense,3,3,D
Palmeiras,Sao Paulo,2,1,H
Paysandu,Vitoria,4,2,H
Goias,Sao Caetano,3,2,H
Ponte Preta,Cruzeiro,1,0,H
Atletico-MG,Athletico-PR,0,1,A
Internacional,Criciuma,3,0,H
Sao Paulo,Ponte Preta,2,0,H
Athletico-PR,Juventude,4,1,H
Figueirense,Vasco,2,2,D
Vitoria,Goias,0,0,D
Guarani,Atletico-MG,1,1,D
Fluminense,Gremio,2,0,H
Parana,Palmeiras,1,2,A
Sao Caetano,Botafogo-RJ,1,2,A
Corinthians,Santos,2,3,A
Flamengo,Paysandu,4,1,H
Cruzeiro,Coritiba,0,3,A
Sao Paulo,Atletico-MG,1,0,H
Goias,Fluminense,4,0,H
Gremio,Figueirense,2,2,D
Vasco,Vitoria,3,1,H
Botafogo-RJ,Internacional,5,1,H
Parana,Athletico-PR,1,0,H
Cruzeiro,Guarani,2,0,H
Palmeiras,Juventude,4,1,H
Paysandu,Sao Caetano,0,0,D
Criciuma,Flamengo,1,1,D
Ponte Preta,Santos,0,4,A
Coritiba,Corinthians,1,2,A
Ponte Preta,Guarani,3,1,H
Internacional,Gremio,2,0,H
Santos,Sao Paulo,2,1,H
Vitoria,Botafogo-RJ,1,0,H
Flamengo,Vasco,0,1,A
Juventude,Coritiba,1,0,H
Goias,Paysandu,3,2,H
Corinthians,Parana,1,0,H
Athletico-PR,Palmeiras,0,0,D
Figueirense,Criciuma,2,0,H
Fluminense,Sao Caetano,1,0,H
Atletico-MG,Cruzeiro,2,0,H
Atletico-MG,Vitoria,1,1,D
Corinthians,Criciuma,1,0,H
Juventude,Fluminense,2,1,H
Gremio,Cruzeiro,2,3,A
Guarani,Internacional,2,1,H
Figueirense,Parana,0,0,D
Paysandu,Ponte Preta,3,0,H
Athletico-PR,Goias,6,0,H
Vasco,Coritiba,2,3,A
Sao Caetano,Sao Paulo,0,0,D
Botafogo-RJ,Palmeiras,1,1,D
Santos,Flamengo,2,0,H
Cruzeiro,Botafogo-RJ,3,2,H
Internacional,Athletico-PR,6,0,H
Palmeiras,Gremio,2,0,H
Vitoria,Corinthians,1,1,D
Parana,Sao Caetano,0,1,A
Goias,Guarani,2,0,H
Flamengo,Juventude,0,1,A
Fluminense,Santos,1,0,H
Criciuma,Atletico-MG,4,2,H
Coritiba,Paysandu,1,1,D
Ponte Preta,Vasco,3,2,H
Sao Paulo,Figueirense,2,1,H
Gremio,Parana,4,0,H
Corinthians,Internacional,0,0,D
Juventude,Vitoria,3,2,H
Atletico-MG,Goias,0,2,A
Guarani,Flamengo,0,1,A
Figueirense,Coritiba,1,1,D
Paysandu,Palmeiras,1,0,H
Sao Caetano,Ponte Preta,0,1,A
Vasco,Cruzeiro,3,2,H
Botafogo-RJ,Sao Paulo,1,0,H
Athletico-PR,Fluminense,4,1,H
Santos,Criciuma,5,2,H
Fluminense,Corinthians,2,0,H
Internacional,Juventude,1,2,A
Sao Paulo,Vasco,1,0,H
Coritiba,Botafogo-RJ,1,0,H
Criciuma,Athletico-PR,4,1,H
